Source,"Rodney Edvinsson (2014), ‘The Gross Domestic Product of Sweden within present borders, 1620–2012’","Rodney Edvinsson (2014), ‘The Gross Domestic Product of Sweden within present borders, 1620–2012’","Rodney Edvinsson and Johan Söderberg (2010), ‘The evolution of Swedish consumer prices 1290–2008’, ",
Year,GDPPC,GDP,CPI,
1820,13855.283,387.0250832,55.12754199,
1821,13756.04155,357.3104607,51.04882557,
1822,13179.3149,344.771699,51.41535205,
1823,13670.1989,351.7494365,49.06090777,
1824,14156.66885,368.9582495,49.29596621,
1825,13639.35902,375.1107357,50.83441345,
1826,12592.59104,400.0686481,60.36708441,
1827,13276.74828,403.7476912,54.03941978,
1828,13701.56651,387.2670822,50.21998155,
1829,13247.23195,397.0140442,53.2381935,
1830,12896.96915,404.7369963,55.88278867,
1831,12799.30112,436.9404626,61.31978303,
1832,13972.83677,456.1970623,56.94308331,
1833,14277.84227,442.1680233,55.65059464,
1834,13213.01938,424.1089143,57.20493986,
1835,13540.96023,442.4160033,56.80609077,
1836,13511.48835,454.5013091,58.33718618,
1837,12757.17276,451.7357307,61.69346727,
1838,13544.92279,498.4419482,63.81894694,
1839,14251.42896,511.4485708,61.42901826,
1840,14444.75918,512.6342577,61.02430751,
1841,13733.35361,508.2796595,63.80593868,
1842,13887.57804,526.5849046,63.40404186,
1843,14051.60611,517.8373415,60.34696081,
1844,14066.94743,487.2885851,55.45703918,
1845,13556.3362,512.8948179,61.6261065,
1846,13460.63157,538.3020153,63.86880945,
1847,14223.9315,577.9044289,64.63039484,
1848,15218.92186,583.0128506,60.93276352,
1849,15015.18402,573.7591919,60.40522873,
1850,14926.03253,599.352307,63.43170972,
1851,14470.85903,608.8720476,65.57972998,
1852,15028.56875,640.8841341,64.98817932,
1853,14896.58613,685.3670573,70.0510018,
1854,15490.79321,738.5249074,71.5006908,
1855,15659.91389,863.5697804,83.3959137,
1856,15976.37302,959.3574472,89.23190175,
1857,15631.25046,944.3241242,87.34218124,
1858,15903.61924,845.5163844,75.21966942,
1859,15998.8443,831.2210348,73.2268968,
1860,16184.92542,902.6741908,79.24054761,
1861,16284.3081,955.5285514,82.91989717,
1862,16350.33678,977.9388463,80.55962328,
1863,16942.81522,999.9147767,77.43302413,
1864,17302.08945,982.3120093,73.40838271,
1865,16857.53725,970.1413252,73.80967725,
1866,16757.16629,1005.603184,76.61631054,
1867,15916.4924,1030.139438,85.83602627,
1868,16030.07183,1018.107172,85.10460318,
1869,17420.80871,1042.153551,76.91473592,
1870,18808.90489,1108.502144,77.16734167,
1871,18945.66832,1159.750883,78.67768956,
1872,19540.85941,1318.161152,82.16772105,
1873,20283.3537,1564.343667,89.44022705,
1874,20285.86898,1622.780169,90.78052674,
1875,20228.81258,1579.498856,89.84042117,
1876,20599.16484,1638.317639,89.79593226,
1877,20126.83356,1632.792388,89.59631098,
1878,20319.01008,1508.155791,81.70996401,
1879,20149.06221,1449.720072,77.93705417,
1880,20484.33801,1542.180661,82.62025561,
1881,20486.88192,1569.473813,84.34403587,
1882,21082.60313,1609.331703,83.73483742,
1883,21743.23456,1633.008604,82.03392378,
1884,22068.41956,1640.914262,78.9857545,
1885,22326.76164,1596.266666,74.87823773,
1886,22019.81035,1505.064495,71.0458956,
1887,21742.90647,1428.426286,66.91331388,
1888,22196.82256,1543.578835,70.99536148,
1889,22767.89003,1628.56106,73.15455324,
1890,23380.09216,1707.342276,74.39758258,
1891,23936.15056,1777.81171,79.26715177,
1892,24151.13052,1756.912309,75.95401742,
1893,24250.73681,1734.54528,73.85360467,
1894,24286.65624,1715.022264,70.01499416,
1895,25530.00932,1831.2756,70.06580199,
1896,26729.63879,1939.923516,70.63326509,
1897,27335.49773,2094.454626,73.80359092,
1898,28039.64111,2264.736463,76.2682404,
1899,28936.54749,2457.377169,80.84855317,
1900,29120.43141,2522.764507,83.04611982,
1901,28581.08248,2434.897223,82.58242872,
1902,28422.34514,2419.359907,82.93892097,
1903,29714.05903,2626.537783,82.59136231,
1904,30448.79335,2686.570464,82.62034386,
1905,30527.47798,2755.226991,83.97712755,
1906,32747.14965,3074.922057,86.91354664,
1907,33827.86738,3312.01423,91.31976089,
1908,33796.63305,3332.779917,93.15057191,
1909,33114.09953,3298.186949,91.81333892,
1910,35383.66525,3554.703488,91.68993051,
1911,35659.19532,3632.134905,92.80243008,
1912,37040.31389,3858.991329,97.7193744,
1913,39356.93786,4168.087907,98.8,
1914,39075.33932,4282.118204,100.1,
1915,39534.97276,4934.123377,115,
1916,41075.01155,6189.651455,130,
1917,37878.16316,7123.477475,164,
1918,35386.67327,9656.626499,241,
1919,36961.52211,11645.96246,266,
1920,39163.90977,13193.88341,271,
1921,35646.60962,9649.575572,221,
1922,38162.44116,8181.298394,184,
1923,40444.73449,8206.387288,174,
1924,41912.95548,8507.387171,174,
1925,43500.64687,8797.29257,177,
1926,45301.80956,8841.317205,171,
1927,46958.25882,9005.913862,169,
1928,48876.56409,9334.213751,170,
1929,51740.67753,9743.627706,168,
1930,54151.86485,9878.623147,162,
1931,52113.20446,9052.818445,157,
1932,50556.4244,8579.608748,155,
1933,51052.59363,8534.371189,151,
1934,56310.16901,9445.225924,152,
1935,59428.32024,10137.88971,155,
1936,62526.81549,10841.76989,157,
1937,65561.29539,12036.35975,162,
1938,67934.17836,12606.99531,165,
1939,73213.70152,13992.32956,170,
1940,65103.19998,14826.15582,193,
1941,63150.26677,16346.75039,219,
1942,64986.91575,18035.63358,234,
1943,67182.75535,19540.4627,235,
1944,68194.20152,20257.74463,234,
1945,68902.07379,21123.78677,233,
1946,76890.0213,24287.13675,234,
1947,81384.67771,26812.07161,241,
1948,82659.03727,29453.77895,255,
1949,84151.23953,30479.72221,256,
1950,87859.98922,34003.41801,260,
1951,90150.36071,42280.59483,304,
1952,90666.10213,46216.27314,326,
1953,92636.46962,47664.84728,328,
1954,97698.98673,50743.81777,331,
1955,99800.36831,54524.02533,339,
1956,102332.4647,59323.55781,356,
1957,103964.6832,63389.719,372,
1958,105786.8996,67005.78242,388,
1959,110790.5686,71453.62073,391,
1960,114652.2968,78144.28398,407,
1961,120758.2269,85373.88576,416,
1962,125792.0414,93211.11415,436,
1963,131895.043,101266.9768,449,
1964,139982.074,113116.4649,463,
1965,143748.2972,124797.8362,487,
1966,145685.0988,136254.255,519,
1967,148657.8351,147648.0407,540,
1968,153470.7011,157163.408,551,
1969,160345.0932,170939.5164,566,
1970,168424.2843,191198,605,
1971,167293.872,206888,650,
1972,170429.706,226497,689,
1973,175819.6686,252263,735,
1974,180134.2449,285446,808,
1975,182544.2144,334900,887,
1976,183501.8048,379127,979,
1977,178889.6287,412739,1090,
1978,180055.8828,459717,1200,
1979,185667.661,515302,1286,
1980,187026.2096,584413,1461,
1981,186313.2136,638634,1638,
1982,188787.1768,699524,1778,
1983,192710.5232,784825,1937,
1984,200967.8924,881974,2092,
1985,205229.7452,959717,2246,
1986,210606.7632,1049286,2341,
1987,216831.7734,1135409,2440,
1988,221090.4705,1241401,2582,
1989,224921.1603,1373535,2748,
1990,224737.2269,1514857,3036,
1991,220687.5502,1624458,3319,
1992,217083.4705,1627077,3395,
1993,211782.5072,1634131,3553,
1994,218874.7074,1744433,3631,
1995,226610.9836,1883562,3723,
1996,229499.588,1932025,3740,
1997,235979.1253,2019261,3760,
1998,245788.4288,2121037,3754,
1999,256647.799,2237854,3772,
2000,268296.9433,2380358,3809,
2001,271858.9537,2478130,3902,
2002,276666.2801,2569876,3986,
2003,282254.158,2677446,4063,
2004,293235.546,2805115,4078,
