,Est. Historicas Cuadro 16.19:,Est. Historicas Cuadro 16.19:,Est. Historicas Cuadro 16.19:,Est. Historicas Cuadro 16.19:,Est. Historicas Cuadro 17.3,Est. Historicas Cuadro 17.3,Est. Historicas Cuadro 17.3,Est. Historicas Cuadro 17.8
Year,CPI1,CPI2,CPI3,CPI4,GNP,GDP1,GDP2,GDPPC
1926,177.5,182.44,167.83,166.63,,,,
1927,183.6,198.29,158.87,165.77,,,,
1928,181.8,189.25,158.71,162.84,,,,
1929,171.2,198.12,157.71,174.45,,,,
1930,173.3,188.04,172.31,170.36,,,,
1931,171.2,204.24,169.93,175.63,,,,
1932,168,197.12,164.68,173.85,,,,
1933,162.2,187.28,158.54,169.94,,,,
1934,166.5,193.81,166.5,175.43,,,,
1935,168.4,190.58,168.16,175.43,,,,
1936,170.1,186.92,188.39,176.42,,,,
1937,188.5,,213.6,,,,,
1938,212,,243.28,,,,,
1939,241.9,,239.47,,,,,
1940,285.9,,269.65,,,,,
1941,354.8,,293.86,,,,,
1942,370.8,,339.8,,,,,
1943,367.8,,354.39,,,,,
1944,388.1,,406.8,,,,,
1945,408.6,,448.92,,,,,
1946,528,,509.45,,,,,
1947,613.9,,586.73,,,,,
1948,663.4,,659.37,,,,,
1949,721.7,,723.22,,,,,
1950,797.3,,854.56,,,,,
1951,866.3,,1018.41,,,,,
1952,872.6,,1063.52,,,,,
1953,899,,1156.72,,,,,
1954,901.6,,1222.06,,,,,
1955,920.6,,1256.38,,,,,
1956,944.8,,1399.34,,,,,
1957,1045.3,,1498.01,,,,,
1958,1172.5,,1658.37,,,,,
