Source,"Ferreres, Osvaldo (2005), Dos Siglos de Economía Argentina (1810-2004): Historia Argentina en Cifras, Fundación Norte y Sur","Ferreres, Osvaldo (2005), Dos Siglos de Economía Argentina (1810-2004): Historia Argentina en Cifras, Fundación Norte y Sur","Ferreres, Osvaldo (2005), Dos Siglos de Economía Argentina (1810-2004): Historia Argentina en Cifras, Fundación Norte y Sur","Ferreres, Osvaldo (2005), Dos Siglos de Economía Argentina (1810-2004): Historia Argentina en Cifras, Fundación Norte y Sur",
Year,RGDP,GDEFL,CPI,RGDPPC,
1912,26428.27502,2.00016E-12,1.4384E-12,0.003609386,
1913,26703.30671,2.02212E-12,1.4542E-12,0.003506782,
1914,23937.8504,2.03417E-12,1.4542E-12,0.00302279,
1915,24064.01173,2.18662E-12,1.56748E-12,0.002921932,
1916,23371.38604,2.40991E-12,1.68283E-12,0.002789613,
1917,21477.7045,2.90038E-12,1.96982E-12,0.002520024,
1918,25415.19955,3.42691E-12,2.48545E-12,0.00293135,
1919,26350.05499,3.36898E-12,2.3344E-12,0.002987535,
1920,28267.70718,3.73716E-12,2.73469E-12,0.003150499,
1921,28990.61159,3.15129E-12,2.42984E-12,0.003135559,
1922,31309.4568,2.76071E-12,2.04535E-12,0.00328626,
1923,34758.70751,2.78147E-12,2.00759E-12,0.003540453,
1924,37469.91445,2.91146E-12,2.04535E-12,0.003703793,
1925,37313.47441,2.89184E-12,1.98974E-12,0.003579303,
1926,39112.53495,2.70781E-12,1.93206E-12,0.003651677,
1927,41886.82255,2.66813E-12,1.91215E-12,0.003806251,
1928,44480.69946,2.66112E-12,1.8943E-12,0.003934007,
1929,46530.82104,2.64529E-12,1.91215E-12,0.004005418,
1930,44605.59917,2.60144E-12,1.93206E-12,0.003737146,
1931,41509.60018,2.3751E-12,1.66292E-12,0.003414007,
1932,40134.44171,2.25968E-12,1.49196E-12,0.003240396,
1933,42020.55356,2.35504E-12,1.68283E-12,0.003330487,
1934,45337.33488,2.39566E-12,1.49196E-12,0.003527501,
1935,47309.23644,2.45149E-12,1.58122E-12,0.003613451,
1936,47702.85978,2.58051E-12,1.7151E-12,0.003587218,
1937,51159.68017,2.76909E-12,1.76041E-12,0.003787725,
1938,51317.38183,2.68969E-12,1.74874E-12,0.003740695,
1939,53281.71371,2.72939E-12,1.77621E-12,0.00382387,
1940,54145.91881,2.76909E-12,1.81603E-12,0.003825849,
1941,56975.7174,2.82864E-12,1.86409E-12,0.003964011,
1942,57604.00081,3.16609E-12,1.96982E-12,0.003946213,
1943,57211.63908,3.35467E-12,1.9918E-12,0.003859181,
1944,63655.95972,3.44399E-12,1.98562E-12,0.004227977,
1945,61612.14621,3.93032E-12,2.37766E-12,0.004029422,
1946,67114.04173,4.88312E-12,2.79785E-12,0.004289632,
1947,74579.00751,6.03443E-12,3.17685E-12,0.004658578,
1948,78665.37293,6.97731E-12,3.59292E-12,0.004802315,
1949,77644.72779,8.47599E-12,4.71025E-12,0.004632433,
1950,78587.15291,9.92505E-12,5.91313E-12,0.004582252,
1951,81642.19271,1.36745E-11,8.08495E-12,0.00466065,
1952,77533.08093,1.6652E-11,1.12065E-11,0.00433704,
1953,81642.19271,1.81959E-11,1.16552E-11,0.004478252,
1954,85012.51761,1.9409E-11,1.21039E-11,0.004575348,
1955,91017.50218,2.1394E-11,1.35948E-11,0.004808662,
1956,93546.02626,2.72387E-11,1.54139E-11,0.00485411,
1957,98391.84382,3.31938E-11,1.92181E-11,0.005017294,
1958,104396.8284,4.42216E-11,2.52954E-11,0.005233832,
1959,97654.09749,9.02076E-11,5.40562E-11,0.004815018,
1960,105344.7648,1.10278E-10,6.8805E-11,0.005109852,
1961,112824.2015,1.2274E-10,7.81033E-11,0.005385254,
1962,111033.4237,1.54279E-10,1.00019E-10,0.005216809,
1963,108399.8046,1.97619E-10,1.24097E-10,0.005014702,
1964,119565.8918,2.4978E-10,1.5157E-10,0.005447381,
1965,130521.789,3.19917E-10,1.94896E-10,0.005857434,
1966,131364.6303,3.96671E-10,2.56992E-10,0.005809602,
1967,134841.0908,5.0717E-10,3.32101E-10,0.005879442,
1968,140634.8448,5.60765E-10,3.85992E-10,0.006046033,
1969,152643.7734,6.08846E-10,4.15243E-10,0.006467909,
1970,160860.9564,6.76227E-10,4.71624E-10,0.006713081,
1971,166912.6062,9.29811E-10,6.35391E-10,0.006853515,
1972,170379.3345,1.5161E-09,1.00681E-09,0.006878504,
1973,176760.9743,2.4946E-09,1.61394E-09,0.007014867,
1974,186316.018,3.23033E-09,2.00474E-09,0.00726997,
1975,185210.5515,9.67477E-09,5.66938E-09,0.007109986,
1976,185188.5521,5.06135E-08,3.08422E-08,0.006999273,
1977,197015.0269,1.31408E-07,8.51341E-08,0.007334319,
1978,190666.3861,3.39265E-07,2.34553E-07,0.006992862,
1979,203891.6518,8.48791E-07,6.08688E-07,0.007367451,
1980,207011.4322,1.70326E-06,1.22203E-06,0.007368658,
1981,195787.0856,3.50521E-06,2.49876E-06,0.006863721,
1982,189602.2415,1.05826E-05,6.61614E-06,0.006558906,
1983,197400.6105,5.09343E-05,2.9363E-05,0.006731857,
1984,201349.0246,0.000360685,0.000213387,0.006777142,
1985,187351.746,0.002599996,0.001647735,0.006219529,
1986,200726.1196,0.0045672,0.003132238,0.006580663,
1987,205926.3718,0.010403767,0.007245837,0.006661826,
1988,202022.1639,0.050479086,0.032095797,0.006450264,
1989,188010.8197,1.584342383,1.020476007,0.005919651,
1990,184568.7671,34.28833525,24.63393212,0.005731625,
1991,204093.8254,81.38585166,66.92342123,0.006257566,
1992,223701.268,93.11284738,83.58731356,0.006786464,
1993,236504.9802,100.0000002,92.45720018,0.00709929,
1994,250307.8855,102.8493205,96.31944482,0.007434446,
1995,243186.1015,106.1047006,99.57132489,0.007146812,
1996,256626.2431,106.0490753,99.72629911,0.007462325,
1997,277441.3176,105.5570525,100.253441,0.007982589,
1998,288122.8046,103.7572708,101.1407331,0.008202566,
1999,278369.0139,101.8515028,100,0.00784138,
2000,276172.1854,102.908169,99.0613488,0.007697524,
2001,263995.6744,101.7807241,98.00598367,0.007280605,
2002,235234.5968,132.880175,123.3586595,0.006419059,
2003,256022.4652,146.8267095,139.9415781,0.0069127,
2004,279020,160.3138664,146.1210035,0.007454259,
