Source,Grytten- O.H. (2004),Grytten- O.H. (2004),Grytten- O.H. (2004),Grytten- O.H. (2004),A Consumer Price Index for Norway,A Consumer Price Index for Norway,Contributions to a history of prices in Norway,Grytten- O.H. (2004),Grytten- O.H. (2004),Grytten- Ola H. (2007),Contributions to a history of prices in Norway,Contributions to a history of prices in Norway,Contributions to a history of prices in Norway,Contributions to a history of prices in Norway,Contributions to a history of prices in Norway,Contributions to a history of prices in Norway,Contributions to a history of prices in Norway,Contributions to a history of prices in Norway,Contributions to a history of prices in Norway,Contributions to a history of prices in Norway,A Consumer Price Index for Norway,A Consumer Price Index for Norway,A Consumer Price Index for Norway,A Consumer Price Index for Norway,A Consumer Price Index for Norway,A Consumer Price Index for Norway,A Consumer Price Index for Norway,A Consumer Price Index for Norway,A Consumer Price Index for Norway,A Consumer Price Index for Norway
Year,GDP,GDPPC,CONS,INV,CPI,WPI,PPI,GDEFL,CDEFL,WAGE,Pfish,Pmilk,Pmeat,Pcrop,Pveget,Pcolonial,Pbever,Pwood,Poil,Pclothing,Wfish,Wmilk,Wmeat,Wcrop,Wveget,Wcolonial,Wbever,Wwood,Woil,Wclothing
1969,590590,153491.437,292'454,127'966,11.5735,14.0541,,13.38,14.83,28'519,,,,,,,,,,,,,,,,,,,,
1970,607956.19,156861.0336,292'504,184'693,12.7992,15.0223,,15.06,16.27,29'700,,,,,,,,,,,,,,,,,,,,
1971,642442.25,164600.5203,308'658,205'199,13.5977,15.7786,,16.02,17.31,33'500,,,,,,,,,,,,,,,,,,,,
1972,676688.06,172053.7431,317'061,193'968,14.579,16.2599,,16.9,18.51,36'600,,,,,,,,,,,,,,,,,,,,
1973,707362.19,178599.1914,328'372,220'994,15.6647,17.549,,18.37,19.88,40'500,,,,,,,,,,,,,,,,,,,,
1974,735111.56,184457.732,338'144,242'107,17.1403,20.7631,,20.46,21.81,45'900,,,,,,,,,,,,,,,,,,,,
1975,771515.44,192526.8727,356'035,250'973,19.143,22.7283,,22.27,24.23,53'900,,,,,,,,,,,,,,,,,,,,
1976,816459.81,202789.1424,377'235,269'385,20.8986,24.5216,,24.02,26.31,61'300,,,,,,,,,,,,,,,,,,,,
1977,850430.56,210335.751,400'902,270'989,22.7928,25.9024,,25.98,28.59,67'600,,,,,,,,,,,,,,,,,,,,
1978,883336.56,217641.8241,394'525,224'604,24.6512,27.1628,,27.61,30.89,73'500,,,,,,,,,,,,,,,,,,,,
1979,921960.56,226385.9328,411'096,230'138,25.8278,29.5176,,29.18,32.55,76'000,,,,,,,,,,,,,,,,,,,,
1980,964044.75,235960.454,419'606,245'156,28.6421,33.7974,,33.01,35.65,83'400,,,,,,,,,,,,,,,,,,,,
1981,979453,238908.3693,420'874,250'648,32.5566,37.659,,37.27,40.28,93'400,,,,,,,,,,,,,,,,,,,,
1982,981758,238592.6659,425'594,259'933,36.2494,40.0997,,41.18,44.83,104'100,,,,,,,,,,,,,,,,,,,,
1983,1020761.19,247251.5449,434'023,246'430,39.2983,42.3914,,44.05,48.57,113'500,,,,,,,,,,,,,,,,,,,,
1984,1082541.63,261477.2328,447'875,274'024,41.7659,45.0384,,46.79,51.5,122'100,,,,,,,,,,,,,,,,,,,,
1985,1142659.13,275172.7218,489'192,281'766,44.1323,47.2614,,49.22,54.48,131'300,,,,,,,,,,,,,,,,,,,,
1986,1188848.75,285276.6408,513'893,326'640,47.304,48.6078,,48.95,58.29,143'200,,,,,,,,,,,,,,,,,,,,
1987,1209693.63,288923.1139,510'721,311'979,51.4317,51.6329,,52.48,63.08,155'700,,,,,,,,,,,,,,,,,,,,
1988,1206604.88,286639.3783,499'937,294'202,54.8768,54.2684,,55.04,66.78,165'000,,,,,,,,,,,,,,,,,,,,
1989,1219132.75,288422.3572,496'882,273'761,57.3767,57.2018,,58.13,70.04,172'200,,,,,,,,,,,,,,,,,,,,
1990,1242691.88,292985.9226,500'323,257'278,59.7366,59.3388,,60.34,73.26,180'500,,,,,,,,,,,,,,,,,,,,
1991,1281025.38,300587.9722,510'752,243'062,61.78,60.7769,,61.68,75.94,189'600,,,,,,,,,,,,,,,,,,,,
1992,1326814.38,309540.4594,522'827,240'742,63.227,60.8399,,61.28,77.65,197'000,,,,,,,,,,,,,,,,,,,,
1993,1364566.38,316458.5408,534'699,254'372,64.6632,60.8113,,62.69,79.56,203'700,,,,,,,,,,,,,,,,,,,,
1994,1433550.88,330569.2819,552'850,274'169,65.5675,61.6592,,62.59,80.34,209'900,,,,,,,,,,,,,,,,,,,,
1995,1493099.88,342518.2445,572'821,299'411,67.1781,62.8452,,64.5,82.21,216'900,,,,,,,,,,,,,,,,,,,,
1996,1568173,357921.232,609'042,303'786,68.0243,63.8135,,67.25,83.24,226'600,,,,,,,,,,,,,,,,,,,,
1997,1651045.63,374798.405,628'048,356'981,69.7792,64.713,,69.13,85.24,237'500,,,,,,,,,,,,,,,,,,,,
1998,1694375.63,382351.2117,645'814,402'198,71.5154,64.9135,,68.65,87.4,253'000,,,,,,,,,,,,,,,,,,,,
1999,1728489.13,387387.4569,669'930,372'588,73.184,65.9677,,73.23,89.12,266'600,,,,,,,,,,,,,,,,,,,,
2000,1783891.63,397217.7548,697'939,375'683,75.4425,68.7579,,84.53,91.7,278'700,,,,,,,,,,,,,,,,,,,,
2001,1821092.5,403454.3554,712'330,357'506,77.7188,68.4829,,85.91,93.72,293'500,,,,,,,,,,,,,,,,,,,,
2002,1847274.38,407053.6929,734'669,356'175,78.72,67.1766,,84.46,95.01,309'400,,,,,,,,,,,,,,,,,,,,
2003,1864266.13,408395.5206,758'117,349'070,80.6686,71.7257,,86.88,97.71,323'300,,,,,,,,,,,,,,,,,,,,
2004,1938073.13,422062.5252,799'419,406'032,81.044,74.0461,,91.95,98.87,334'600,,,,,,,,,,,,,,,,,,,,
2005,1988942,430200.4784,834'615,449'366,82.2776,76.7446,,100,100,345'700,,,,,,,,,,,,,,,,,,,,
2006,2036578.88,436970.6587,876'021,504'578,84.1964,81.4197,,108.78,101.82,359'900,,,,,,,,,,,,,,,,,,,,
2007,2097371.75,445381.9981,922'524,559'646,84.8102,82.2047,,112.09,103.12,379'300,,,,,,,,,,,,,,,,,,,,
2008,2107455.5,441980.2897,937'985,564'702,88.0043,89.6127,,123.79,106.7,403'200,,,,,,,,,,,,,,,,,,,,
2009,2071818,429061.0431,938'252,487'450,89.9112,89.4465,,117.35,109.35,420'200,,,,,,,,,,,,,,,,,,,,
2010,2086147.5,426680.2979,973'547,502'311,92.0684,94.7175,,124.33,111.67,435'700,,,,,,,,,,,,,,,,,,,,
2011,2106424,425274.9421,996'416,526'529,93.2662,99.5646,,132.73,112.9,453'800,,,,,,,,,,,,,,,,,,,,
2012,2163753,431149.0967,1'031'021,551'141,93.9277,99.1922,,137.18,114.1,472'000,,,,,,,,,,,,,,,,,,,,
2013,2186350.75,430369.985,1'060'047,587'813,95.9299,100.5959,,140.67,116.45,490'400,,,,,,,,,,,,,,,,,,,,
2014,2229533.75,433978.5036,1'082'202,588'885,97.8726,101.6443,,141.14,119.05,505'500,,,,,,,,,,,,,,,,,,,,
2015,2273457.5,438054.7501,1'110'507,568'591,100,100,,137.15,121.9,,,,,,,,,,,,,,,,,,,,,
2016,2298271.5,438923.8393,1'127'197,596'791,103.5457,101.0771,,135.63,125.86,,,,,,,,,,,,,,,,,,,,,
2017,2339951.75,443427.3147,1'153'335,612'385,105.4917,106.0559,,140.15,127.86,,,,,,,,,,,,,,,,,,,,,
